data,result-item-content1
40028 Associate Degree in Health,Program
40167 Associate Degree in Science,Program
50050 Associate Degree in Surveying,Program
12242 Bachelor of Aboriginal Professional Practice,Program
12343 Bachelor of Aboriginal Professional Practice/Bachelor of Laws(Honours),Program
11435 Bachelor of Aboriginal Studies (Honours),Program
40349 Bachelor of Aerospace Systems Engineering (Honours),Program
40181 Bachelor of Aerospace Systems Engineering (Honours),Program
40299 Bachelor of Aerospace Systems Engineering (Honours)/Bachelor of Mechanical Engineering (Honours),Program
40348 Bachelor of Aerospace Systems Engineering (Honours)/Bachelor of Mechanical Engineering (Honours),Program
40302 Bachelor of Aerospace Systems Engineering (Honours)/Bachelor of Mechatronics Engineering (Honours),Program
40347 Bachelor of Aerospace Systems Engineering (Honours)/Bachelor of Mechatronics Engineering (Honours),Program
10435 Bachelor of Arts,Program
40096 Bachelor of Arts,Program
40209 Bachelor of Arts (Honours),Program
40124 Bachelor of Arts/Bachelor of Innovation and Entrepreneurship,Program
12340 Bachelor of Arts/Bachelor of Laws (Honours),Program
40150 Bachelor of Arts/Bachelor of Laws (Honours),Program
40168 Bachelor of Arts/Bachelor of Science,Program
40097 Bachelor of Biomedical Science,Program
10988 Bachelor of Biomedical Science (Honours),Program
40312 Bachelor of Biomedicine,Program
40280 Bachelor of Biomedicine/Bachelor of Laws (Honours),Program
10981 Bachelor of Biotechnology,Program
10982 Bachelor of Biotechnology (Honours),Program
50034 Bachelor of Business,Program
40027 Bachelor of Business,Program
11060 Bachelor of Business (Honours),Program
40263 Bachelor of Business Analytics,Program
40264 Bachelor of Business/Bachelor of Business Analytics,Program
50066 Bachelor of Business/Bachelor of Commerce,Program
40035 Bachelor of Business/Bachelor of Commerce,Program
40016 Bachelor of Business/Bachelor of Innovation and Entrepreneurship,Program
50036 Bachelor of Business/Bachelor of Laws (Honours),Program
40036 Bachelor of Business/Bachelor of Laws (Honours),Program
50048 Bachelor of Business/Bachelor of Media and Communication,Program
40339 Bachelor of Chemical Engineering (Honours),Program
40055 Bachelor of Chemical Engineering (Honours),Program
40350 Bachelor of Chemical Engineering (Honours)/Bachelor of Business,Program
40078 Bachelor of Chemical Engineering (Honours)/Bachelor of Business,Program
40079 Bachelor of Chemical Engineering (Honours)/Bachelor of Mathematics,Program
40351 Bachelor of Chemical Engineering (Honours)/Bachelor of Mathematics,Program
40197 Bachelor of Chemical Engineering (Honours)/Bachelor of Science,Program
40080 Bachelor of Chemical Engineering (Honours)/Bachelor of Science,Program
40352 Bachelor of Chemical Engineering (Honours)/Bachelor of Science,Program
40231 Bachelor of Civil Engineering (Honours),Program
40054 Bachelor of Civil Engineering (Honours),Program
40354 Bachelor of Civil Engineering (Honours),Program
40356 Bachelor of Civil Engineering (Honours)/Bachelor of Business,Program
40082 Bachelor of Civil Engineering (Honours)/Bachelor of Business,Program
40083 Bachelor of Civil Engineering (Honours)/Bachelor of Environmental Engineering (Honours),Program
40353 Bachelor of Civil Engineering (Honours)/Bachelor of Environmental Engineering (Honours),Program
40084 Bachelor of Civil Engineering (Honours)/Bachelor of Mathematics,Program
40357 Bachelor of Civil Engineering (Honours)/Bachelor of Mathematics,Program
40085 Bachelor of Civil Engineering (Honours)/Bachelor of Surveying (Honours),Program
40358 Bachelor of Civil Engineering (Honours)/Bachelor of Surveying (Honours),Program
40245 Bachelor of Climate Science and Adaptation,Program
40210 Bachelor of Coastal and Marine Science,Program
50037 Bachelor of Commerce,Program
40029 Bachelor of Commerce,Program
10801 Bachelor of Commerce (Honours),Program
50039 Bachelor of Commerce/Bachelor of Business Analytics,Program
40265 Bachelor of Commerce/Bachelor of Business Analytics,Program
40017 Bachelor of Commerce/Bachelor of Innovation and Entrepreneurship,Program
40037 Bachelor of Commerce/Bachelor of Laws (Honours),Program
50038 Bachelor of Commerce/Bachelor of Laws (Honours),Program
11496 Bachelor of Communication,Program
11584 Bachelor of Communication (Honours),Program
12342 Bachelor of Communication/Bachelor of Laws (Honours),Program
10177 Bachelor of Computer Science,Program
40103 Bachelor of Computer Science,Program
40359 Bachelor of Computer Systems Engineering (Honours),Program
40059 Bachelor of Computer Systems Engineering (Honours),Program
40088 Bachelor of Computer Systems Engineering (Honours)/Bachelor of Computer Science,Program
40341 Bachelor of Computer Systems Engineering (Honours)/Bachelor of Computer Science,Program
40087 Bachelor of Computer Systems Engineering (Honours)/Bachelor of Mathematics,Program
40340 Bachelor of Computer Systems Engineering (Honours)/Bachelor of Mathematics,Program
40086 Bachelor of Computer Systems Engineering (Honours)/Bachelor of Science,Program
40198 Bachelor of Computer Systems Engineering (Honours)/Bachelor of Science,Program
40360 Bachelor of Computer Systems Engineering (Honours)/Bachelor of Science,Program
40283 Bachelor of Computing (Honours),Program
40374 Bachelor of Construction Management (Building) (Honours),Program
40041 Bachelor of Creative Industries,Program
40125 Bachelor of Creative Industries/Bachelor of Innovation and Entrepreneurship,Program
40270 Bachelor of Criminology,Program
40327 Bachelor of Criminology (Honours),Program
40272 Bachelor of Criminology/Bachelor of Laws (Honours),Program
40271 Bachelor of Criminology/Bachelor of Psychological Science,Program
40276 Bachelor of Data Science,Program
40278 Bachelor of Data Science/Bachelor of Computer Science,Program
40277 Bachelor of Data Science/Bachelor of Mathematics,Program
10028 Bachelor of Design (Architecture),Program
11368 Bachelor of Development Studies,Program
11547 Bachelor of Development Studies (Honours),Program
40101 Bachelor of Development Studies/Bachelor of Business,Program
40246 Bachelor of Development Studies/Bachelor of Communication,Program
40179 Bachelor of Development Studies/Bachelor of Global Indigenous Studies,Program
40130 Bachelor of Development Studies/Bachelor of Laws (Honours),Program
50006 Bachelor of Development Studies/Bachelor of Media and Communication,Program
40095 Bachelor of Development Studies/Bachelor of Social Science,Program
40224 Bachelor of Education (Early Childhood and Primary Studies),Program
40105 Bachelor of Education (Early Childhood and Primary),Program
40109 Bachelor of Education (Early Childhood and Primary)(Honours),Program
40225 Bachelor of Education (Primary Studies),Program
40106 Bachelor of Education (Primary),Program
40110 Bachelor of Education (Primary)(Honours),Program
40226 Bachelor of Education (Secondary Studies),Program
40107 Bachelor of Education (Secondary),Program
40108 Bachelor of Education (Secondary)(Honours),Program
12266 Bachelor of Education Studies,Program
40377 Bachelor of Electrical and Electronic Engineering (Honours),Program
40066 Bachelor of Electrical and Electronic Engineering (Honours),Program
40072 Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Business,Program
40344 Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Business,Program
40073 Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Computer System Engineering (Honours),Program
40342 Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Computer System Engineering (Honours),Program
40070 Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Mathematics,Program
40343 Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Mathematics,Program
40071 Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Science,Program
40345 Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Science,Program
40199 Bachelor of Electrical and Electronic Engineering (Honours)/Bachelor of Science,Program
12284 Bachelor of Engineering (Honours)(Chemical),Program
12287 Bachelor of Engineering (Honours)(Chemical)/Bachelor of Science,Program
12288 Bachelor of Engineering (Honours)(Civil),Program
12282 Bachelor of Engineering (Honours)(Civil)/Bachelor Engineering (Honours)(Surveying),Program
12289 Bachelor of Engineering (Honours)(Civil)/Bachelor of Business,Program
12290 Bachelor of Engineering (Honours)(Civil)/Bachelor of Engineering (Honours)(Environmental),Program
12294 Bachelor of Engineering (Honours)(Computer)/Bachelor of Science,Program
12295 Bachelor of Engineering (Honours)(Electrical),Program
12296 Bachelor of Engineering (Honours)(Electrical)/Bachelor of Business,Program
12297 Bachelor of Engineering (Honours)(Electrical)/Bachelor of Mathematics,Program
12298 Bachelor of Engineering (Honours)(Environmental),Program
12300 Bachelor of Engineering (Honours)(Mechanical),Program
12301 Bachelor of Engineering (Honours)(Mechanical)/Bachelor of Business,Program
12302 Bachelor of Engineering (Honours)(Mechanical)/Bachelor of Engineering (Honours)(Mechatronics),Program
12303 Bachelor of Engineering (Honours)(Mechanical)/Bachelor of Science,Program
12304 Bachelor of Engineering (Honours)(Mechatronics),Program
12305 Bachelor of Engineering (Honours)(Software),Program
40104 Bachelor of Engineering (Mining Transfer),Program
11487 Bachelor of Environmental and Occupational Health and Safety,Program
40057 Bachelor of Environmental Engineering (Honours),Program
40361 Bachelor of Environmental Engineering (Honours),Program
40200 Bachelor of Environmental Engineering (Honours)/Bachelor of Science,Program
40362 Bachelor of Environmental Engineering (Honours)/Bachelor of Science,Program
11587 Bachelor of Environmental Science and Management,Program
11706 Bachelor of Environmental Science and Management (Honours),Program
40172 Bachelor of Environmental Science and Management/Bachelor of Business,Program
11705 Bachelor of Exercise and Sport Science,Program
40257 Bachelor of Exercise and Sport Science,Program
12230 Bachelor of Exercise and Sport Science (Honours),Program
11680 Bachelor of Food Science and Human Nutrition,Program
12243 Bachelor of Food Science and Human Nutrition (Honours),Program
40102 Bachelor of Food Science and Human Nutrition/Bachelor of Business,Program
40122 Bachelor of Global Indigenous Studies,Program
40188 Bachelor of Global Indigenous Studies/Bachelor of Laws (Honours),Program
11729 Bachelor of Health,Program
11691 Bachelor of Health Science (Honours),Program
11497 Bachelor of Information Technology,Program
12238 Bachelor of Information Technology/Bachelor of Business,Program
40007 Bachelor of Innovation and Entrepreneurship,Program
40129 Bachelor of Innovation and Entrepreneurship/Bachelor of Laws (Honours),Program
12348 Bachelor of Laws (Honours),Program
12347 Bachelor of Laws (Honours)/Diploma of Legal Practice,Program
10237 Bachelor of Mathematics,Program
40212 Bachelor of Mathematics (Advanced),Program
10159 Bachelor of Mathematics (Honours),Program
10253 Bachelor of Mathematics/Bachelor of Computer Science,Program
40170 Bachelor of Mathematics/Bachelor of Science,Program
10092 Bachelor of Mathematics/Bachelor of Science,Program
40061 Bachelor of Mechanical Engineering (Honours),Program
40376 Bachelor of Mechanical Engineering (Honours),Program
40364 Bachelor of Mechanical Engineering (Honours)/Bachelor of Business,Program
40093 Bachelor of Mechanical Engineering (Honours)/Bachelor of Business,Program
40365 Bachelor of Mechanical Engineering (Honours)/Bachelor of Mathematics,Program
40092 Bachelor of Mechanical Engineering (Honours)/Bachelor of Mathematics,Program
40363 Bachelor of Mechanical Engineering (Honours)/Bachelor of Mechatronics Engineering (Honours),Program
40094 Bachelor of Mechanical Engineering (Honours)/Bachelor of Mechatronics Engineering (Honours),Program
40366 Bachelor of Mechanical Engineering (Honours)/Bachelor of Science,Program
40201 Bachelor of Mechanical Engineering (Honours)/Bachelor of Science,Program
40091 Bachelor of Mechanical Engineering (Honours)/Bachelor of Science,Program
40064 Bachelor of Mechatronics Engineering (Honours),Program
40367 Bachelor of Mechatronics Engineering (Honours),Program
40074 Bachelor of Mechatronics Engineering (Honours)/Bachelor of Business,Program
40346 Bachelor of Mechatronics Engineering (Honours)/Bachelor of Electrical and Electronic Engineering (Honours),Program
40075 Bachelor of Mechatronics Engineering (Honours)/Bachelor of Electrical and Electronic Engineering (Honours),Program
40368 Bachelor of Mechatronics Engineering (Honours)/Bachelor of Mathematics,Program
40081 Bachelor of Mechatronics Engineering (Honours)/Bachelor of Mathematics,Program
40202 Bachelor of Mechatronics Engineering (Honours)/Bachelor of Science,Program
40076 Bachelor of Mechatronics Engineering (Honours)/Bachelor of Science,Program
50003 Bachelor of Media and Communication,Program
50004 Bachelor of Media and Communication (Honours),Program
50005 Bachelor of Media and Communication/Bachelor of Laws (Honours),Program
40369 Bachelor of Medical Engineering (Honours),Program
40126 Bachelor of Medical Engineering (Honours),Program
40002 Bachelor of Medical Radiation Science (Honours)(Diagnostic Radiography),Program
40011 Bachelor of Medical Radiation Science (Honours)(Nuclear Medicine),Program
40010 Bachelor of Medical Radiation Science (Honours)(Radiation Therapy),Program
50068 Bachelor of Medical Radiation Science (Honours)(Radiation Therapy),Program
40046 Bachelor of Medical Science,Program
12389 Bachelor of Medical Science (Honours),Program
12200 Bachelor of Midwifery,Program
40297 Bachelor of Midwifery,Program
12330 Bachelor of Midwifery (Honours),Program
40206 Bachelor of Music,Program
40045 Bachelor of Music,Program
40309 Bachelor of Music and Performing Arts,Program
40310 Bachelor of Music and Performing Arts (Honours),Program
40311 Bachelor of Music and Performing Arts/Bachelor of Arts,Program
40207 Bachelor of Music/Bachelor of Arts,Program
40120 Bachelor of Music/Bachelor of Arts,Program
11498 Bachelor of Natural History Illustration,Program
11532 Bachelor of Natural History Illustration (Honours),Program
11725 Bachelor of Nursing,Program
40298 Bachelor of Nursing,Program
10954 Bachelor of Nursing (Honours),Program
12339 Bachelor of Nutrition and Dietetics (Honours),Program
12338 Bachelor of Occupational Therapy (Honours),Program
12390 Bachelor of Oral Health Therapy,Program
12328 Bachelor of Pharmacy (Honours),Program
12337 Bachelor of Physiotherapy (Honours),Program
50021 Bachelor of Podiatric Medicine,Program
50022 Bachelor of Podiatric Medicine (Honours),Program
11692 Bachelor of Podiatry,Program
40099 Bachelor of Psychological Science,Program
11698 Bachelor of Psychological Science,Program
40211 Bachelor of Psychological Science (Advanced),Program
40100 Bachelor of Psychological Science (Honours),Program
40288 Bachelor of Psychological Science/Bachelor of Business,Program
40289 Bachelor of Psychological Science/Bachelor of Communication,Program
40290 Bachelor of Psychological Science/Bachelor of Laws (Honours),Program
50007 Bachelor of Psychological Science/Bachelor of Media and Communication,Program
40291 Bachelor of Psychological Science/Bachelor of Social Science,Program
12362 Bachelor of Psychology (Honours),Program
40192 Bachelor of Public and Community Health,Program
40370 Bachelor of Renewable Energy Engineering (Honours),Program
40173 Bachelor of Renewable Energy Engineering (Honours),Program
40165 Bachelor of Science,Program
10323 Bachelor of Science,Program
40166 Bachelor of Science (Advanced),Program
10496 Bachelor of Science (Honours),Program
40171 Bachelor of Science/Bachelor of Innovation and Entrepreneurship,Program
40189 Bachelor of Science/Bachelor of Laws (Honours),Program
12346 Bachelor of Science/Bachelor of Laws (Honours),Program
10716 Bachelor of Social Science,Program
10726 Bachelor of Social Science (Honours),Program
12341 Bachelor of Social Science/Bachelor of Laws (Honours),Program
12317 Bachelor of Social Work (Honours),Program
40056 Bachelor of Software Engineering (Honours),Program
40371 Bachelor of Software Engineering (Honours),Program
12318 Bachelor of Speech Pathology (Honours),Program
40372 Bachelor of Surveying (Honours),Program
40058 Bachelor of Surveying (Honours),Program
40077 Bachelor of Surveying (Honours)/Bachelor of Business,Program
40373 Bachelor of Surveying (Honours)/Bachelor of Business,Program
12366 Bachelor of Teaching (Early Childhood and Primary)(Honours),Program
12369 Bachelor of Teaching (Fine Art)(Honours),Program
12370 Bachelor of Teaching (Health and Physical Education)(Honours),Program
12368 Bachelor of Teaching (Humanities)(Honours),Program
12371 Bachelor of Teaching (Mathematics)(Honours),Program
12367 Bachelor of Teaching (Primary)(Honours),Program
12372 Bachelor of Teaching (Science)(Honours),Program
12373 Bachelor of Teaching (Technology)(Honours),Program
40329 Bachelor of Tourism Hospitality and Events,Program
40208 Bachelor of Visual Communication Design,Program
11253 Bachelor of Visual Communication Design,Program
11254 Bachelor of Visual Communication Design (Honours),Program
40317 Diploma in Arts and Social Science,Program
40320 Diploma in Built Environment,Program
40127 Diploma in Business,Program
50096 Diploma in Creative and Performing Arts,Program
40330 Diploma in Data Analytics,Program
40316 Diploma in Education Studies,Program
40128 Diploma in Engineering,Program
40319 Diploma in Environmental Science,Program
50069 Diploma in Exercise and Sport Science,Program
40321 Diploma in Information Technology,Program
11718 Diploma in Languages,Program
50070 Diploma in Media and Visual Communication,Program
40318 Diploma in Science,Program
50049 Diploma in Surveying,Program
50079 Diploma in Town Planning,Program
40047 Doctor of Medicine,Program
40214 Executive Master of Business Administration,Program
12459 Foundation Studies in Medicine,Program
11198 Graduate Certificate in Applied Finance,Program
11248 Graduate Certificate in Applied Management (Nursing),Program
50030 Graduate Certificate in Artificial Intelligence (Foundations),Program
40142 Graduate Certificate in Business Administration,Program
12396 Graduate Certificate in Business Psychology,Program
50051 Graduate Certificate in Clean Energy,Program
11684 Graduate Certificate in Clinical Epidemiology,Program
40023 Graduate Certificate in Clinical Nursing,Program
40131 Graduate Certificate in Creative Industries,Program
40300 Graduate Certificate in Custodial Health,Program
40196 Graduate Certificate in Cyber Security,Program
40155 Graduate Certificate in Data Analytics,Program
40162 Graduate Certificate in Data Science,Program
50040 Graduate Certificate in Designing with Country,Program
40338 Graduate Certificate in Digital Business,Program
12387 Graduate Certificate in Digital Media,Program
50013 Graduate Certificate in Disaster Risk and Resilience,Program
40019 Graduate Certificate in Disaster Risk Reduction,Program
40267 Graduate Certificate in Early Childhood Disability Support,Program
40139 Graduate Certificate in Education,Program
40324 Graduate Certificate in Emotional and Behavioural Support in Education,Program
12326 Graduate Certificate in Environmental and Business Management,Program
12327 Graduate Certificate in Environmental Management and Sustainability,Program
50058 Graduate Certificate in Fintech,Program
"40219 Graduate Certificate in Health Economics, Management and Policy",Program
11686 Graduate Certificate in Health Science,Program
50033 Graduate Certificate in Higher Education,Program
50056 Graduate Certificate in Human and Social Services,Program
40134 Graduate Certificate in Human Resource Management,Program
12381 Graduate Certificate in Information Technology,Program
50044 Graduate Certificate in Laboratory Medicine,Program
40136 Graduate Certificate in Marketing,Program
50061 Graduate Certificate in Marketing and Digital Strategy,Program
40303 Graduate Certificate in Medicines for the Health Professions,Program
50067 Graduate Certificate in Mental Health Nursing,Program
40314 Graduate Certificate in Midwifery (Re-entry to Practice),Program
40026 Graduate Certificate in Pollution Impact Assessment,Program
50054 Graduate Certificate in Prescribing for Midwives,Program
12187 Graduate Certificate in Professional Accounting,Program
40328 Graduate Certificate in Professional Equity and Inclusion,Program
40337 Graduate Certificate in Project Management,Program
12411 Graduate Certificate in Project Management for the Built Environment,Program
40284 Graduate Certificate in Public Health,Program
12376 Graduate Certificate in Social Change and Development,Program
40273 Graduate Certificate in Spatial Science,Program
40268 Graduate Certificate in Special and Inclusive Support,Program
50088 Graduate Certificate in Sports Analytics,Program
40032 Graduate Certificate in Studies,Program
50084 Graduate Certificate in Town Planning,Program
40269 Graduate Certificate in Transformational Leadership in Education,Program
50008 Graduate Certificate in Workplace Health and Safety,Program
50000 Graduate Certificate in Workplace Mental Health and Wellbeing,Program
50052 Graduate Diploma in Clean Energy,Program
40195 Graduate Diploma in Data Science and Analytics,Program
40378 Graduate Diploma in Education,Program
40213 Graduate Diploma in Education Studies,Program
40025 Graduate Diploma in Environmental Risk Assessment and Remediation,Program
40244 Graduate Diploma in Exercise and Chronic Disease Management,Program
50045 Graduate Diploma in Laboratory Medicine,Program
40223 Graduate Diploma in Psychological Science,Program
40274 Graduate Diploma in Spatial Science,Program
50012 Graduate Diploma in Teaching (Secondary),Program
50001 Graduate Diploma of Workplace Mental Health and Wellbeing,Program
50016 Juris Doctor,Program
12334 Juris Doctor/Graduate Diploma in Legal Practice (JD),Program
12374 Master of Applied Finance,Program
11256 Master of Applied Linguistics,Program
12060 Master of Architecture,Program
40137 Master of Business Administration,Program
40160 Master of Business Administration (Global),Program
40218 Master of Business Administration (Global)/Master of Science (Data Analytics),Program
40145 Master of Business Administration/Master of Applied Finance,Program
40146 Master of Business Administration/Master of Human Resource Management,Program
40147 Master of Business Administration/Master of International Business,Program
40148 Master of Business Administration/Master of Marketing,Program
12394 Master of Business Psychology,Program
50053 Master of Clean Energy,Program
11685 Master of Clinical Epidemiology,Program
40030 Master of Clinical Epidemiology,Program
12263 Master of Clinical Medicine (Leadership and Management),Program
40187 Master of Clinical Psychology,Program
50014 Master of Construction Management (Professional),Program
40132 Master of Creative Industries,Program
40301 Master of Custodial Health,Program
40180 Master of Cyber Security,Program
40112 Master of Data Science,Program
50059 Master of Data Science and Artificial Intelligence,Program
12388 Master of Digital Media,Program
40115 Master of Disaster Resilience and Sustainable Development,Program
50010 Master of Disaster Risk and Resilience,Program
40193 Master of Dispute Resolution,Program
40138 Master of Education,Program
12325 Master of Environmental and Business Management,Program
40141 Master of Environmental Law,Program
12323 Master of Environmental Management and Sustainability,Program
40275 Master of Environmental Management and Sustainability,Program
40024 Master of Environmental Risk Assessment and Remediation,Program
50055 Master of Exercise Physiology,Program
40243 Master of Exercise Physiology,Program
"40259 Master of Health Economics, Management and Policy",Program
"40261 Master of Health Economics, Management and Policy (Global)",Program
"40260 Master of Health Economics, Management and Policy/Master of Business Administration",Program
40133 Master of Human Resource Management,Program
40140 Master of Human Resources and Law,Program
40177 Master of Information Technology,Program
12384 Master of International Business,Program
50086 Master of International Sports Business,Program
50089 Master of International Sports Business/Master of Sports Analytics,Program
50041 Master of Laboratory Medicine,Program
12333 Master of Laws,Program
40013 Master of Leadership and Management in Education,Program
40135 Master of Marketing,Program
40203 Master of Materials Science and Engineering,Program
40157 Master of Medical Statistics,Program
12197 Master of Mental Health Nursing,Program
40313 Master of Midwifery (Graduate Entry),Program
40143 Master of Midwifery Studies,Program
40158 Master of Nurse Practitioner,Program
40336 Master of Nurse Practitioner,Program
40156 Master of Nursing,Program
11702 Master of Professional Accounting,Program
12403 Master of Professional Accounting (Advanced),Program
40149 Master of Professional Accounting/Master of Business Administration,Program
40164 Master of Professional Accounting/Master of Business Administration,Program
40051 Master of Professional Engineering (Chemical),Program
40182 Master of Professional Engineering (Chemical),Program
40183 Master of Professional Engineering (Civil),Program
50024 Master of Professional Engineering (Civil),Program
50025 Master of Professional Engineering (Electrical and Electronic),Program
40184 Master of Professional Engineering (Electrical and Electronic),Program
40053 Master of Professional Engineering (Environmental),Program
40052 Master of Professional Engineering (Geospatial),Program
50026 Master of Professional Engineering (Mechanical),Program
40185 Master of Professional Engineering (Mechanical),Program
40117 Master of Professional Psychology,Program
40262 Master of Professional Psychology (Clinical Foundations),Program
12412 Master of Project Management for the Built Environment,Program
11716 Master of Public Health,Program
"50011 Master of Public Health/Master of Health Economics, Management and Policy",Program
50009 Master of Public Health/Master of Social Change and Development,Program
40217 Master of Science (Data Analytics),Program
40230 Master of Screen Business,Program
40015 Master of Social Change and Development,Program
50032 Master of Social Work (Qualifying),Program
40123 Master of Special and Inclusive Education,Program
50087 Master of Sports Analytics,Program
40031 Master of Studies,Program
40227 Master of Teaching (Primary Studies),Program
11714 Master of Teaching (Primary),Program
40205 Master of Teaching (Primary),Program
40228 Master of Teaching (Secondary Studies),Program
11715 Master of Teaching (Secondary),Program
40204 Master of Teaching (Secondary),Program
40229 Master of Translation Studies,Program
12392 Master of Traumatology,Program
12273 Master of Workplace Health and Safety,Program
50002 Master of Workplace Mental Health and Wellbeing,Program
40325 NUchance,Program
40216 Open Foundation Certificate Program,Program
40379 Open Foundation Extended,Program
12468 Pre-Masters Program Business,Program
12469 Pre-Masters Program Information Technology,Program
11195 Yapug Certificate,Program
